BCODE,BNAME,DCODE,District_Name,Region,County_ID,County_Name,Public/nonpublic,g7_totl,g8_totl,g9_totl,g10_totl,g11_totl,g12_totl,tot_all
03155,Ravenna High School,61210,Ravenna Public Schools,7.00,61,Muskegon,Public,0.00,0.00,69.00,83.00,102.00,76.00,330.00
03175,Reeths-Puffer High School,61220,Reeths-Puffer Schools,7.00,61,Muskegon,Public,0.00,0.00,344.00,353.00,299.00,330.00,"1,326.00"
03178,REGINA HIGH SCHOOL,50230,,7.00,41,Kent,nonpublic,0.00,0.00,135.00,153.00,101.00,111.00,500.00
03185,RESURRECTION SCHOOL,33020,,7.00,13,Calhoun,nonpublic,14.00,22.00,0.00,0.00,0.00,0.00,36.00
03197,Ottawa Hills High School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,0.00,0.00,297.00,258.00,177.00,142.00,874.00
03204,Ring Lardner Middle School,11300,Niles Community School District,7.00,11,Berrien,Public,272.00,294.00,0.00,0.00,0.00,0.00,566.00
03209,River Valley Middle School,11033,River Valley School District,7.00,11,Berrien,Public,71.00,57.00,0.00,0.00,0.00,0.00,128.00
03217,Riverside School,11670,Hagar Township S/D #6,7.00,11,Berrien,Public,3.00,6.00,0.00,0.00,0.00,0.00,9.00
03218,Riverside Middle School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,172.00,169.00,0.00,0.00,0.00,0.00,341.00
03246,Rockford High School,41210,Rockford Public Schools,7.00,41,Kent,Public,0.00,0.00,0.00,654.00,643.00,653.00,"1,950.00"
03253,Rogers High School,41026,Wyoming Public Schools,7.00,41,Kent,Public,0.00,0.00,277.00,249.00,202.00,218.00,946.00
03288,Tekonsha Senior High School,13130,Tekonsha Community Schools,7.00,13,Calhoun,Public,0.00,0.00,35.00,22.00,24.00,30.00,111.00
03308,Discovery Alternative H.S.,41140,Kelloggsville Public Schools,7.00,41,Kent,Public,0.00,0.00,84.00,58.00,63.00,29.00,234.00
03311,SACRED HEART SCHOOL,46080,,7.00,41,Kent,nonpublic,4.00,0.00,0.00,0.00,0.00,0.00,4.00
03357,ST JOSEPH SCHOOL,65045,,7.00,41,Kent,nonpublic,20.00,16.00,0.00,0.00,0.00,0.00,36.00
03360,ST LINUS SCHOOL,82230,,7.00,41,Kent,nonpublic,14.00,16.00,0.00,0.00,0.00,0.00,30.00
03362,ST MARY PARISH SCHOOL,58010,,7.00,03,Allegan,nonpublic,31.00,26.00,0.00,0.00,0.00,0.00,57.00
03406,Saranac High School,34120,Saranac Community Schools,7.00,34,Ionia,Public,0.00,0.00,79.00,78.00,78.00,91.00,326.00
03409,Saugatuck High School,03080,Saugatuck Public Schools,7.00,03,Allegan,Public,0.00,0.00,57.00,50.00,71.00,83.00,261.00
03417,Schoolcraft High School,39160,Schoolcraft Community Schools,7.00,39,Kalamazoo,Public,0.00,0.00,97.00,93.00,113.00,100.00,403.00
03440,Tri County Senior High School,59080,Tri County Area Schools,7.00,59,Montcalm,Public,0.00,0.00,174.00,179.00,187.00,203.00,743.00
03454,Shelby High School,64080,Shelby Public Schools,7.00,64,Oceana,Public,0.00,0.00,138.00,121.00,152.00,121.00,532.00
03455,Shelby Middle School,64080,Shelby Public Schools,7.00,64,Oceana,Public,101.00,117.00,0.00,0.00,0.00,0.00,218.00
03461,Central Montcalm Middle School,59125,Central Montcalm Public Schools,7.00,59,Montcalm,Public,133.00,147.00,0.00,0.00,0.00,0.00,280.00
03506,KALAMAZOO CHRISTIAN MIDDLE,39010,,7.00,12,Branch,nonpublic,66.00,77.00,0.00,0.00,0.00,0.00,143.00
03515,South Haven High School,80010,South Haven Public Schools,7.00,80,Van Buren,Public,0.00,0.00,238.00,175.00,184.00,138.00,735.00
03518,Maple Street Magnet School for the Arts,39010,Kalamazoo Public School District,7.00,39,Kalamazoo,Public,332.00,290.00,0.00,0.00,0.00,0.00,622.00
03526,SOUTH OLIVE CHRISTIAN SCHOOL,70070,,7.00,39,Kalamazoo,nonpublic,2.00,5.00,0.00,0.00,0.00,0.00,7.00
03535,Allegan Alternative High School,03030,Allegan Public Schools,7.00,03,Allegan,Public,0.00,0.00,15.00,56.00,16.00,66.00,153.00
03546,Southside Special Educ School,11300,Niles Community School District,7.00,11,Berrien,Public,2.00,6.00,7.00,12.00,12.00,33.00,72.00
03560,Sparta Senior High School,41240,Sparta Area Schools,7.00,41,Kent,Public,0.00,0.00,238.00,222.00,196.00,195.00,851.00
03562,Sparta Middle School,41240,Sparta Area Schools,7.00,41,Kent,Public,201.00,221.00,0.00,0.00,0.00,0.00,422.00
03567,Spring Lake High School,70300,Spring Lake Public Schools,7.00,70,Ottawa,Public,0.00,0.00,217.00,224.00,216.00,176.00,833.00
03570,Springfield Middle School,13020,Battle Creek Public Schools,7.00,13,Calhoun,Public,121.00,105.00,0.00,0.00,0.00,0.00,226.00
03624,ST AUGUSTINE CATHEDRAL SCH,39010,,7.00,70,Ottawa,nonpublic,25.00,36.00,0.00,0.00,0.00,0.00,61.00
03629,ST BARTHOLOMEW SCHOOL,82010,,7.00,41,Kent,nonpublic,11.00,11.00,0.00,0.00,0.00,0.00,22.00
03656,SAINT CHARLES SCHOOL,58080,,7.00,59,Montcalm,nonpublic,20.00,15.00,0.00,0.00,0.00,0.00,35.00
03680,ST DUNSTAN SCHOOL,82050,,7.00,11,Berrien,nonpublic,4.00,17.00,0.00,0.00,0.00,0.00,21.00
03681,ST EDITH SCHOOL,82095,,7.00,64,Oceana,nonpublic,31.00,31.00,0.00,0.00,0.00,0.00,62.00
03699,CORPUS CHRISTI CATHOLIC SCH,70070,,7.00,41,Kent,nonpublic,16.00,21.00,0.00,0.00,0.00,0.00,37.00
03711,ST GERARD SCHOOL,33215,,7.00,14,Cass,nonpublic,60.00,58.00,0.00,0.00,0.00,0.00,118.00
03713,ST GERMAINE ELEMENTARY SCH,50130,,7.00,41,Kent,nonpublic,26.00,20.00,0.00,0.00,0.00,0.00,46.00
03732,ST IGNATIUS CATHOLIC SCHOOL,71080,,7.00,41,Kent,nonpublic,16.00,7.00,0.00,0.00,0.00,0.00,23.00
03740,River Valley High School,11033,River Valley School District,7.00,11,Berrien,Public,0.00,0.00,59.00,49.00,54.00,81.00,243.00
03746,ST JOAN OF ARC SCHOOL,50200,,7.00,70,Ottawa,nonpublic,46.00,47.00,0.00,0.00,0.00,0.00,93.00
03763,ST JOHN THE EVANGELIST SCH,25100,,7.00,61,Muskegon,nonpublic,56.00,50.00,0.00,0.00,0.00,0.00,106.00
03778,ST JOHN LUTHERAN SCHOOL,50100,,7.00,41,Kent,nonpublic,17.00,14.00,0.00,0.00,0.00,0.00,31.00
03779,ST JOHN'S LUTHERAN SCHOOL,32130,,7.00,41,Kent,nonpublic,6.00,5.00,0.00,0.00,0.00,0.00,11.00
03783,ST JOHNS LUTHERAN SCHOOL,82150,,7.00,39,Kalamazoo,nonpublic,3.00,2.00,0.00,0.00,0.00,0.00,5.00
03791,LAKE MICHIGAN CATHOLIC MS/HS,11020,,7.00,41,Kent,nonpublic,42.00,43.00,46.00,37.00,47.00,39.00,254.00
03793,St. Joseph High School,11020,St. Joseph Public Schools,7.00,11,Berrien,Public,0.00,0.00,239.00,239.00,242.00,272.00,992.00
03812,ST JOSEPH SCHOOL,63230,,7.00,11,Berrien,nonpublic,34.00,33.00,0.00,0.00,0.00,0.00,67.00
03820,ST JOSEPH SCHOOL,82155,,7.00,70,Ottawa,nonpublic,20.00,20.00,0.00,0.00,0.00,0.00,40.00
03850,ST MARGARET SCHOOL,03020,,7.00,41,Kent,nonpublic,9.00,4.00,0.00,0.00,0.00,0.00,13.00
03854,ST WILLIAM SCHOOL,63290,,7.00,61,Muskegon,nonpublic,20.00,23.00,0.00,0.00,0.00,0.00,43.00
03881,ST MARY OF THE LAKE SCHOOL,11200,,7.00,13,Calhoun,nonpublic,11.00,21.00,0.00,0.00,0.00,0.00,32.00
03885,ST MARY SCHOOL,82290,,7.00,41,Kent,nonpublic,12.00,17.00,0.00,0.00,0.00,0.00,29.00
03909,ST MARY SCHOOL,45020,,7.00,11,Berrien,nonpublic,16.00,9.00,19.00,22.00,25.00,24.00,115.00
03945,ST PATRICK SCHOOL,41170,,7.00,41,Kent,nonpublic,9.00,8.00,0.00,0.00,0.00,0.00,17.00
03959,ST PAUL LUTHERAN SCHOOL,50210,,7.00,41,Kent,nonpublic,5.00,5.00,0.00,0.00,0.00,0.00,10.00
03963,ST PAUL THE APOSTLE SCHOOL,41010,,7.00,08,Barry,nonpublic,23.00,23.00,0.00,0.00,0.00,0.00,46.00
03974,ST PETER LUTHERAN SCHOOL,19140,,7.00,41,Kent,nonpublic,4.00,3.00,0.00,0.00,0.00,0.00,7.00
03994,ST REGIS SCHOOL,63010,,7.00,41,Kent,nonpublic,60.00,65.00,0.00,0.00,0.00,0.00,125.00
04002,ST SABINA SCHOOL,82230,,7.00,59,Montcalm,nonpublic,16.00,20.00,0.00,0.00,0.00,0.00,36.00
04004,Godwin Heights Middle School,41020,Godwin Heights Public Schools,7.00,41,Kent,Public,153.00,141.00,0.00,0.00,0.00,0.00,294.00
04014,ST STANISLAUS SCHOOL,03070,,7.00,41,Kent,nonpublic,11.00,12.00,0.00,0.00,0.00,0.00,23.00
04020,ST STEPHEN SCHOOL,82340,,7.00,41,Kent,nonpublic,12.00,25.00,0.00,0.00,0.00,0.00,37.00
04022,ST STEPHEN LUTHERAN SCHOOL,46010,,7.00,39,Kalamazoo,nonpublic,7.00,6.00,0.00,0.00,0.00,0.00,13.00
04032,ST THOMAS AQUINAS SCHOOL,33010,,7.00,11,Berrien,nonpublic,27.00,34.00,0.00,0.00,0.00,0.00,61.00
04035,FR GABRIEL RICHARD HIGH SCH,81010,,7.00,41,Kent,nonpublic,0.00,0.00,127.00,123.00,117.00,134.00,501.00
04095,Sturgis High School,75010,Sturgis Public Schools,7.00,75,St. Joseph,Public,0.00,0.00,251.00,260.00,238.00,241.00,990.00
04176,Thornapple Kellogg High School,08050,Thornapple Kellogg School District,7.00,08,Barry,Public,0.00,0.00,244.00,209.00,227.00,234.00,914.00
04181,Three Rivers High School,75080,Three Rivers Community Schools,7.00,75,St. Joseph,Public,0.00,0.00,216.00,211.00,208.00,153.00,788.00
04208,TRINITY LUTHERAN SCHOOL,74010,,7.00,54,Mecosta,nonpublic,8.00,8.00,0.00,0.00,0.00,0.00,16.00
04209,TRINITY EV LUTHERAN SCHOOL,09010,,7.00,75,St. Joseph,nonpublic,9.00,9.00,0.00,0.00,0.00,0.00,18.00
04214,TRINITY LUTHERAN SCHOOL,50140,,7.00,39,Kalamazoo,nonpublic,24.00,21.00,0.00,0.00,0.00,0.00,45.00
04246,Union City Middle School,13135,Union City Community Schools,7.00,13,Calhoun,Public,81.00,94.00,0.00,0.00,0.00,0.00,175.00
04247,Union City High School,13135,Union City Community Schools,7.00,13,Calhoun,Public,0.00,0.00,100.00,82.00,97.00,96.00,375.00
04251,Union High School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,0.00,0.00,249.00,284.00,206.00,166.00,905.00
04253,Union High School,14020,Dowagiac Union School District,7.00,14,Cass,Public,0.00,0.00,206.00,150.00,152.00,151.00,659.00
04296,Vestaburg Community High School,59150,Vestaburg Community Schools,7.00,59,Montcalm,Public,0.00,0.00,72.00,57.00,55.00,60.00,244.00
04299,Vicksburg High School,39170,Vicksburg Community Schools,7.00,39,Kalamazoo,Public,0.00,0.00,204.00,238.00,223.00,206.00,871.00
04312,Volinia Outcome Base School,14050,Marcellus Community Schools,7.00,14,Cass,Public,4.00,6.00,11.00,15.00,24.00,35.00,95.00
04320,W.K. Kellogg Middle School,13020,Battle Creek Public Schools,7.00,13,Calhoun,Public,142.00,190.00,0.00,0.00,0.00,0.00,332.00
04332,OAKWOOD ACADEMY,82150,,7.00,41,Kent,nonpublic,4.00,0.00,0.00,0.00,0.00,0.00,4.00
04336,Walkerville Middle/High School,64090,Walkerville Public Schools,7.00,64,Oceana,Public,21.00,24.00,32.00,31.00,22.00,22.00,152.00
04345,Steele Middle School,61010,Muskegon City School District,7.00,61,Muskegon,Public,169.00,130.00,0.00,0.00,0.00,0.00,299.00
04366,Washington Gardner Middle School,13010,Albion Public Schools,7.00,13,Calhoun,Public,71.00,90.00,0.00,0.00,0.00,0.00,161.00
04398,Watervliet Senior High School,11320,Watervliet School District,7.00,11,Berrien,Public,0.00,0.00,94.00,89.00,102.00,87.00,372.00
04404,Wayland High School,03040,Wayland Union Schools,7.00,03,Allegan,Public,0.00,0.00,235.00,262.00,243.00,267.00,"1,007.00"
04462,West Ottawa High School Campus,70070,West Ottawa Public School District,7.00,70,Ottawa,Public,0.00,0.00,684.00,606.00,551.00,458.00,"2,299.00"
04489,Westwood Middle School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,121.00,133.00,0.00,0.00,0.00,0.00,254.00
04499,White Cloud High School,62090,White Cloud Public Schools,7.00,62,Newaygo,Public,0.00,0.00,130.00,76.00,75.00,83.00,364.00
04502,White Pigeon Jr/Sr High School,75070,White Pigeon Community Schools,7.00,75,St. Joseph,Public,53.00,82.00,67.00,72.00,53.00,64.00,391.00
04509,Whitehall Middle School,61240,Whitehall District Schools,7.00,61,Muskegon,Public,163.00,158.00,0.00,0.00,0.00,0.00,321.00
04510,Whitehall Senior High School,61240,Whitehall District Schools,7.00,61,Muskegon,Public,0.00,0.00,183.00,170.00,189.00,171.00,713.00
04576,Oakridge Lower Elementary School,61065,Oakridge Public Schools,7.00,61,Muskegon,Public,2.00,0.00,0.00,0.00,0.00,0.00,2.00
04586,Lakeview Middle School,13090,Lakeview Sch. District (Calhoun),7.00,13,Calhoun,Public,283.00,330.00,0.00,0.00,0.00,0.00,613.00
04610,Wyoming Park High School,41026,Wyoming Public Schools,7.00,41,Kent,Public,0.00,0.00,238.00,253.00,182.00,164.00,837.00
04622,Creekside Middle School,70350,Zeeland Public Schools,7.00,70,Ottawa,Public,152.00,128.00,0.00,0.00,0.00,0.00,280.00
04623,Zeeland East High School,70350,Zeeland Public Schools,7.00,70,Ottawa,Public,0.00,0.00,265.00,273.00,260.00,246.00,"1,044.00"
04629,ZION LUTHERAN BEAVER SCHOOL,09010,,7.00,39,Kalamazoo,nonpublic,4.00,8.00,0.00,0.00,0.00,0.00,12.00
04651,LUMEN CHRISTI HIGH SCHOOL,38170,,7.00,39,Kalamazoo,nonpublic,0.00,0.00,139.00,124.00,138.00,134.00,535.00
04652,Fruitport Middle School,61080,Fruitport Community Schools,7.00,61,Muskegon,Public,253.00,257.00,0.00,0.00,0.00,0.00,510.00
04691,ZION EVANGELICAL LUTHERAN,73110,,7.00,70,Ottawa,nonpublic,3.00,1.00,0.00,0.00,0.00,0.00,4.00
04703,LAKE AREA CHRISTIAN SCHOOL,75030,,7.00,34,Ionia,nonpublic,3.00,2.00,3.00,2.00,2.00,1.00,13.00
04733,Coloma Middle School,11330,Coloma Community Schools,7.00,11,Berrien,Public,158.00,0.00,0.00,0.00,0.00,0.00,158.00
04737,Phoenix Alternative High School,39010,Kalamazoo Public School District,7.00,39,Kalamazoo,Public,0.00,0.00,9.00,22.00,30.00,33.00,94.00
04740,MACOMB CHRISTIAN SCHOOLS,50230,,7.00,70,Ottawa,nonpublic,9.00,14.00,14.00,18.00,18.00,19.00,92.00
04750,CORNERSTONE CHRISTIAN SCHOOL,16015,,7.00,41,Kent,nonpublic,2.00,1.00,0.00,0.00,0.00,0.00,3.00
04756,FAITH CHRISTIAN SCHOOL,34090,,7.00,54,Mecosta,nonpublic,4.00,4.00,3.00,3.00,1.00,1.00,16.00
04787,Englishville School,41240,Sparta Area Schools,7.00,41,Kent,Public,0.00,0.00,4.00,21.00,11.00,24.00,60.00
04802,Coopersville Junior High School,70120,Coopersville Area Public School District,7.00,70,Ottawa,Public,167.00,191.00,0.00,0.00,0.00,0.00,358.00
04850,COVENANT CHRISTIAN HIGH SCH,41130,,7.00,70,Ottawa,nonpublic,0.00,0.00,0.00,74.00,82.00,85.00,241.00
04906,Byron Center West Middle School,41040,Byron Center Public Schools,7.00,41,Kent,Public,254.00,255.00,0.00,0.00,0.00,0.00,509.00
04915,HOLLAND CHRISTIAN HIGH SCH,70020,,7.00,62,Newaygo,nonpublic,0.00,0.00,205.00,210.00,206.00,215.00,836.00
04929,ADAMS CHRISTIAN SCHOOL,41130,,7.00,12,Branch,nonpublic,14.00,14.00,11.00,0.00,0.00,0.00,39.00
04936,Albion Senior High School,13010,Albion Public Schools,7.00,13,Calhoun,Public,0.00,0.00,93.00,96.00,98.00,125.00,412.00
04961,Bangor Middle School,80020,Bangor Public Schools,7.00,80,Van Buren,Public,105.00,91.00,10.00,0.00,0.00,0.00,206.00
04966,Chippewa Hills Intermediate School,54025,Chippewa Hills School District,7.00,54,Mecosta,Public,165.00,165.00,0.00,0.00,0.00,0.00,330.00
04967,BATTLE CREEK ACADEMY,13020,,7.00,41,Kent,nonpublic,7.00,10.00,10.00,12.00,12.00,17.00,68.00
05013,GREAT LAKES ADVENTIST ACAD,59045,,7.00,03,Allegan,nonpublic,0.00,0.00,29.00,45.00,76.00,79.00,229.00
05036,Colon High School,75040,Colon Community School District,7.00,75,St. Joseph,Public,52.00,52.00,48.00,47.00,62.00,52.00,313.00
05038,Comstock Alternative H.S.,39030,Comstock Public Schools,7.00,39,Kalamazoo,Public,0.00,0.00,26.00,47.00,40.00,70.00,183.00
05041,Coon School,34140,Berlin Township S/D #3,7.00,34,Ionia,Public,3.00,0.00,0.00,0.00,0.00,0.00,3.00
05056,Decatur Middle School,80050,Decatur Public Schools,7.00,80,Van Buren,Public,83.00,90.00,0.00,0.00,0.00,0.00,173.00
05106,FREMONT CHRISTIAN SCHOOL P-8,62040,,7.00,03,Allegan,nonpublic,14.00,17.00,0.00,0.00,0.00,0.00,31.00
05136,ITHACA SDA SCHOOL,29060,,7.00,70,Ottawa,nonpublic,0.00,4.00,3.00,0.00,0.00,0.00,7.00
05156,City Middle/High School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,112.00,93.00,119.00,116.00,80.00,95.00,615.00
05169,HOLLAND SDA SCHOOL,70020,,7.00,41,Kent,nonpublic,4.00,3.00,0.00,0.00,0.00,0.00,7.00
05187,IONIA SDA SCHOOL,34360,,7.00,41,Kent,nonpublic,0.00,2.00,0.00,0.00,0.00,0.00,2.00
05220,Lakeview High School,59090,Lakeview Community Schools (Montcalm),7.00,59,Montcalm,Public,0.00,0.00,111.00,132.00,149.00,136.00,528.00
05229,Legg Middle School,12010,Coldwater Community Schools,7.00,12,Branch,Public,243.00,242.00,0.00,0.00,0.00,0.00,485.00
05231,Leonidas School,75040,Colon Community School District,7.00,75,St. Joseph,Public,6.00,2.00,0.00,0.00,0.00,0.00,8.00
05257,Marcellus High School,14050,Marcellus Community Schools,7.00,14,Cass,Public,0.00,0.00,76.00,63.00,70.00,61.00,270.00
05291,MUSKEGON SDA SCHOOL,61190,,7.00,70,Ottawa,nonpublic,1.00,0.00,0.00,0.00,0.00,0.00,1.00
05297,NILES SDA SCHOOL,11300,,7.00,59,Montcalm,nonpublic,6.00,3.00,0.00,0.00,0.00,0.00,9.00
05307,NORTHVIEW JUNIOR ACADEMY,83010,,7.00,11,Berrien,nonpublic,0.00,2.00,0.00,0.00,0.00,0.00,2.00
05327,OUR LADY PERPETUAL HELP ELEM,73110,,7.00,11,Berrien,nonpublic,4.00,5.00,0.00,0.00,0.00,0.00,9.00
05342,PEACE LUTHERAN SCHOOL,50210,,7.00,70,Ottawa,nonpublic,12.00,14.00,0.00,0.00,0.00,0.00,26.00
05368,Ravenna Middle School,61210,Ravenna Public Schools,7.00,61,Muskegon,Public,76.00,73.00,0.00,0.00,0.00,0.00,149.00
05387,Unity Alternative School,41170,Lowell Area Schools,7.00,41,Kent,Public,0.00,0.00,0.00,0.00,10.00,19.00,29.00
05402,GRAND RAPIDS ADVENTIST ACADEMY,41010,,7.00,70,Ottawa,nonpublic,20.00,17.00,19.00,14.00,18.00,14.00,102.00
05428,ST ALFRED ELEMENTARY SCHOOL,82150,,7.00,70,Ottawa,nonpublic,23.00,19.00,0.00,0.00,0.00,0.00,42.00
05440,ST FRANCIS HIGH SCHOOL,28010,,7.00,41,Kent,nonpublic,0.00,0.00,76.00,77.00,72.00,87.00,312.00
05455,ST JOHN LUTHERAN SCHOOL,82340,,7.00,61,Muskegon,nonpublic,8.00,7.00,0.00,0.00,0.00,0.00,15.00
05458,ST JOHNS LUTHERAN SCHOOL,73210,,7.00,41,Kent,nonpublic,2.00,1.00,0.00,0.00,0.00,0.00,3.00
05470,ST MARY SCHOOL,25040,,7.00,34,Ionia,nonpublic,15.00,10.00,0.00,0.00,0.00,0.00,25.00
05474,ST MARY PREPARATORY SCHOOL,63160,,7.00,11,Berrien,nonpublic,0.00,0.00,112.00,121.00,143.00,126.00,502.00
05480,ST PAUL LUTHERAN SCHOOL,82095,,7.00,41,Kent,nonpublic,12.00,13.00,0.00,0.00,0.00,0.00,25.00
05487,ST STEPHEN PARISH SCHOOL,73010,,7.00,13,Calhoun,nonpublic,32.00,32.00,0.00,0.00,0.00,0.00,64.00
05491,Starr Commonwealth for Boys,13000,Calhoun ISD,7.00,13,Calhoun,Public,2.00,14.00,21.00,43.00,35.00,15.00,130.00
05523,Valleywood Middle School,41160,Kentwood Public Schools,7.00,41,Kent,Public,169.00,147.00,0.00,0.00,0.00,0.00,316.00
05529,Kenowa Hills Middle School,41145,Kenowa Hills Public Schools,7.00,41,Kent,Public,263.00,300.00,0.00,0.00,0.00,0.00,563.00
05562,Marcellus Middle School,14050,Marcellus Community Schools,7.00,14,Cass,Public,52.00,65.00,0.00,0.00,0.00,0.00,117.00
05619,MIDLAND CHRISTIAN SCHOOL,56010,,7.00,41,Kent,nonpublic,3.00,9.00,7.00,5.00,10.00,13.00,47.00
05678,Mattawan Middle School,80150,Mattawan Consolidated School,7.00,80,Van Buren,Public,293.00,286.00,0.00,0.00,0.00,0.00,579.00
05790,Pearl Alternative/Adult Education School,03050,Fennville Public Schools,7.00,03,Allegan,Public,0.00,0.00,17.00,29.00,9.00,5.00,60.00
05793,Upton Middle School,11020,St. Joseph Public Schools,7.00,11,Berrien,Public,253.00,198.00,0.00,0.00,0.00,0.00,451.00
05794,Lighthouse Education Center,11000,Berrien RESA,7.00,11,Berrien,Public,6.00,5.00,10.00,12.00,11.00,7.00,51.00
05799,Schoolcraft Middle School,39160,Schoolcraft Community Schools,7.00,39,Kalamazoo,Public,82.00,92.00,0.00,0.00,0.00,0.00,174.00
05806,Thornapple Kellogg Middle School,08050,Thornapple Kellogg School District,7.00,08,Barry,Public,205.00,223.00,0.00,0.00,0.00,0.00,428.00
05815,Mona Shores Middle School,61060,Mona Shores Public School District,7.00,61,Muskegon,Public,312.00,340.00,0.00,0.00,0.00,0.00,652.00
05822,Quincy Middle School,12040,Quincy Community School District,7.00,12,Branch,Public,113.00,108.00,0.00,0.00,0.00,0.00,221.00
05827,Ionia Middle School,34010,Ionia Public Schools,7.00,34,Ionia,Public,199.00,240.00,0.00,0.00,0.00,0.00,439.00
05839,Park School,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,0.00,0.00,8.00,19.00,18.00,12.00,57.00
05841,River School,11830,Sodus Township S/D #5,7.00,11,Berrien,Public,6.00,5.00,0.00,0.00,0.00,0.00,11.00
05882,Hastings High School,08030,Hastings Area School District,7.00,08,Barry,Public,0.00,0.00,239.00,248.00,238.00,248.00,973.00
05886,Sherwood Global Studies Academy,41010,Grand Rapids Public Schools,7.00,41,Kent,Public,57.00,61.00,0.00,0.00,0.00,0.00,118.00
05889,Allendale High School,70040,Allendale Public School District,7.00,70,Ottawa,Public,0.00,0.00,144.00,153.00,155.00,155.00,607.00
05927,Wedgwood Campus,41160,Kentwood Public Schools,7.00,41,Kent,Public,11.00,11.00,26.00,31.00,26.00,8.00,113.00
05936,ST MARY CATHOLIC CENTRAL HI,58010,,7.00,54,Mecosta,nonpublic,0.00,0.00,120.00,100.00,92.00,115.00,427.00
05940,ST MATTHEW LUTHERAN SCHOOL,82160,,7.00,70,Ottawa,nonpublic,16.00,12.00,0.00,0.00,0.00,0.00,28.00
05974,East Kentwood High School,41160,Kentwood Public Schools,7.00,41,Kent,Public,0.00,0.00,0.00,692.00,608.00,549.00,"1,849.00"
05995,Ross Beatty High School,14010,Cassopolis Public Schools,7.00,14,Cass,Public,92.00,102.00,104.00,92.00,69.00,89.00,548.00
06000,Plainwell Middle School,03010,Plainwell Community Schools,7.00,03,Allegan,Public,205.00,230.00,0.00,0.00,0.00,0.00,435.00
06012,MICHIGAN LUTHERAN HIGH SCH,11020,,7.00,11,Berrien,nonpublic,0.00,0.00,33.00,27.00,34.00,31.00,125.00
06017,BETHANY CHRISTIAN SCHOOL,63150,,7.00,39,Kalamazoo,nonpublic,20.00,24.00,27.00,22.00,20.00,24.00,137.00
06018,SOUTHFIELD CHRISTIAN SCHOOL,63060,,7.00,61,Muskegon,nonpublic,50.00,53.00,39.00,52.00,59.00,64.00,317.00
06020,WARREN SDA JUNIOR ACADEMY,50230,,7.00,41,Kent,nonpublic,1.00,1.00,0.00,0.00,0.00,0.00,2.00
06022,POWERS CATHOLIC HIGH SCHOOL,25010,,7.00,62,Newaygo,nonpublic,0.00,0.00,156.00,141.00,178.00,165.00,640.00
06031,CLONLARA SCHOOL,81010,,7.00,41,Kent,nonpublic,0.00,4.00,3.00,6.00,3.00,6.00,22.00
06042,INTER CITY BAPTIST SCHOOL,82045,,7.00,41,Kent,nonpublic,27.00,27.00,22.00,27.00,22.00,17.00,142.00
06045,UNIVERSITY-LIGGETT SCHOOL,82055,,7.00,39,Kalamazoo,nonpublic,46.00,36.00,77.00,45.00,58.00,51.00,313.00
06048,TROY ADVENTIST ACADEMY,63150,,7.00,41,Kent,nonpublic,1.00,1.00,0.00,0.00,0.00,0.00,2.00
06086,ACADEMY OF SACRED HEART  K12,63080,,7.00,41,Kent,nonpublic,50.00,41.00,33.00,40.00,36.00,39.00,239.00
06111,Marshall High School,13110,Marshall Public Schools,7.00,13,Calhoun,Public,0.00,0.00,196.00,202.00,209.00,188.00,795.00
06117,Kalamazoo Central High School,39010,Kalamazoo Public School District,7.00,39,Kalamazoo,Public,0.00,0.00,642.00,393.00,321.00,242.00,"1,598.00"
06127,Jenison High School,70175,Jenison Public Schools,7.00,70,Ottawa,Public,0.00,1.00,363.00,394.00,422.00,398.00,"1,578.00"
06133,YESHIVA BETH YEHUDAH SCHOOL,63060,,7.00,70,Ottawa,nonpublic,23.00,22.00,0.00,0.00,0.00,0.00,45.00
06159,Mecosta-Osceola Education Center,54000,Mecosta-Osceola ISD,7.00,54,Mecosta,Public,5.00,5.00,0.00,0.00,0.00,0.00,10.00
06178,Chippewa Hills High School,54025,Chippewa Hills School District,7.00,54,Mecosta,Public,0.00,0.00,190.00,184.00,166.00,148.00,688.00
06196,F.C. Reed Middle School,11340,Bridgman Public Schools,7.00,11,Berrien,Public,76.00,87.00,0.00,0.00,0.00,0.00,163.00
06215,Brookside Learning Center,14000,Lewis Cass ISD,7.00,14,Cass,Public,6.00,9.00,5.00,9.00,4.00,7.00,40.00
06247,MCEC,61010,Muskegon City School District,7.00,61,Muskegon,Public,0.00,0.00,0.00,17.00,73.00,219.00,309.00
06272,Three Rivers Middle School,75080,Three Rivers Community Schools,7.00,75,St. Joseph,Public,197.00,239.00,0.00,0.00,0.00,0.00,436.00
06289,NORTHPOINTE CHRISTIAN SCHOOL,41010,,7.00,11,Berrien,nonpublic,52.00,54.00,91.00,89.00,78.00,102.00,466.00
06294,Northern High School,41110,Forest Hills Public Schools,7.00,41,Kent,Public,0.00,0.00,248.00,260.00,201.00,257.00,966.00
